00000000L,00000000S,00000001L,00000001S,00000011L,00000011S,00000111L,00000111S,00001111L,00001111S,00011111L,00011111S,00111111L,00111111S,01111111L,01111111S,11111111L,11111111S
3522,0,471,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
3528,0,466,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3532,0,463,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3537,0,459,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3545,0,452,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3549,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3552,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3558,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3562,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3566,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3572,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3575,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3584,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3587,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3588,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3592,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3596,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3602,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3603,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3607,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3614,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3623,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3624,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3631,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3635,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
